date,bitly,source,tags,clicks
2022-06-09,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,4.0
2022-06-10,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-10,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1.0
2022-06-10,bit.ly/PrideNet_PMT,direct,NY_PMT,1.0
2022-06-10,bit.ly/AHC_PMT,direct,NY_PMT,2.0
2022-06-10,bit.ly/Unidos_PMT,direct,pmt / NY_PMT,1.0
2022-06-10,bit.ly/LGBTQI_PMT,direct,NY_PMT,1.0
2022-06-10,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-10,bit.ly/LA-NOCOA,direct,LA_PMT,1.0
2022-06-10,bit.ly/LA-SUNO,direct,LA_PMT,1.0
2022-06-11,bit.ly/togetherDMV,direct,DV Target Markets,1.0
2022-06-12,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-06-12,bit.ly/togetherNOLA,direct,LRC,2.0
2022-06-13,bit.ly/togetherDTX,direct,HPO Target Market,11.0
2022-06-13,bit.ly/togetherAoU,https://ms-my.facebook.com/,,1.0
2022-06-14,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-06-14,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4.0
2022-06-14,bit.ly/togetherDTX,direct,HPO Target Market,13.0
2022-06-14,bit.ly/LGBTDetroit_PMT,https://lm.facebook.com/,Detroit_PMT,1.0
2022-04-06,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-06,bit.ly/LA-GoldenChange,direct,LA_PMT,1
2022-04-08,bit.ly/LA-GoldenChange,direct,LA_PMT,1
2022-04-12,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-14,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-19,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-28,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,3
2022-05-10,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
2022-05-16,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
2022-05-17,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-18,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-19,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
2022-05-20,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-21,bit.ly/LA-GoldenChange,http://m.facebook.com,LA_PMT,1
2022-05-23,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-05-24,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,3
2022-05-25,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
2022-04-01,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-01,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-01,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-02,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-04,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-05,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,4
2022-04-05,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-06,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-04-06,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-07,bit.ly/togetherDMV,direct,DV Target Markets,3
2022-04-07,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-08,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
2022-04-10,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-11,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-11,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-12,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-12,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-13,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-13,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-14,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-14,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-04-16,bit.ly/togetherDMV,https://nphchq.com/millennium1/,DV Target Markets,1
2022-04-16,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-17,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-04-18,bit.ly/togetherDMV,direct,DV Target Markets,3
2022-04-18,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-19,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-20,bit.ly/togetherDMV,direct,DV Target Markets,28
2022-04-21,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-22,bit.ly/togetherDMV,direct,DV Target Markets,1
